genre,platform,price,user_rating,critic_score,avg_playtime,review_count,success
Action,PC,59.99,8.5,85,40,12000,1
RPG,PC,49.99,9.1,92,80,25000,1
Sports,PlayStation,69.99,7.2,74,25,9000,1
Puzzle,Mobile,0.00,6.5,65,5,3000,0
Horror,PC,29.99,,78,12,7000,1
RPG,PlayStation,59.99,8.8,,70,18000,1
Action,Xbox,,7.9,80,35,11000,1
Racing,Xbox,39.99,6.8,70,,5000,0
Strategy,PC,44.99,8.0,82,60,,1
Puzzle,Mobile,1.99,5.9,60,4,1000,0
Horror,PlayStation,39.99,7.5,76,15,6000,0
Action,PC,69.99,8.7,88,45,20000,1
Sports,Xbox,59.99,,72,20,4000,0
RPG,,49.99,8.9,90,75,22000,1
Racing,PlayStation,49.99,7.1,73,30,8000,1
Strategy,PC,,7.8,79,55,9000,1
Horror,PC,19.99,6.2,66,8,2000,0
Puzzle,Mobile,0.00,,58,3,800,0
Action,Xbox,59.99,8.1,,38,14000,1
Sports,PlayStation,69.99,6.7,68,18,,0
